WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [1000, 10000, 100000, 1000000]
Parameter[arraySubSize]: [1, 16, 256]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, DITHER____, REVERSE_BA, REVERSE_FR]
Parameter[distBuilder]: [SPIRAL, STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [SYSTEM, DPQ_11, DPQS_2105_REF, DPQS_2105_NEW]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		1000	1	IDENT_____	SPIRAL	SYSTEM   	0.0129244	0.0125123	0.0004122	109	0.0122851	0.0165808
>> Best		1000	1	IDENT_____	SPIRAL	DPQ_11   	0.0126313	0.0125292	0.0001021	109	0.0123390	0.0127430
>> Best		1000	1	IDENT_____	SPIRAL	DPQS_2105_REF	0.0117959	0.0117081	0.0000879	109	0.0115639	0.0119093
>> Best		1000	1	IDENT_____	SPIRAL	DPQS_2105_NEW	0.0135225	0.0131446	0.0003780	109	0.0129368	0.0169233
>> Best		1000	1	IDENT_____	STAGGER	SYSTEM   	0.0051826	0.0051551	0.0000275	109	0.0050746	0.0052315
>> Best		1000	1	IDENT_____	STAGGER	DPQ_11   	0.0045715	0.0045450	0.0000265	109	0.0045208	0.0046950
>> Best		1000	1	IDENT_____	STAGGER	DPQS_2105_REF	0.0051285	0.0051050	0.0000234	109	0.0050353	0.0051461
>> Best		1000	1	IDENT_____	STAGGER	DPQS_2105_NEW	0.0051409	0.0051087	0.0000323	109	0.0050352	0.0052473
>> Best		1000	1	IDENT_____	SAWTOTH	SYSTEM   	0.0024667	0.0024567	0.0000100	109	0.0024371	0.0025162
>> Best		1000	1	IDENT_____	SAWTOTH	DPQ_11   	0.0017283	0.0017109	0.0000175	109	0.0016792	0.0017374
>> Best		1000	1	IDENT_____	SAWTOTH	DPQS_2105_REF	0.0024584	0.0024525	0.0000059	109	0.0024327	0.0024706
>> Best		1000	1	IDENT_____	SAWTOTH	DPQS_2105_NEW	0.0024220	0.0024148	0.0000072	109	0.0023947	0.0024274
>> Best		1000	1	IDENT_____	_RANDOM	SYSTEM   	0.0035137	0.0030093	0.0005044	109	0.0026073	0.0037635
>> Best		1000	1	IDENT_____	_RANDOM	DPQ_11   	0.0032744	0.0030357	0.0002386	109	0.0023939	0.0032697
>> Best		1000	1	IDENT_____	_RANDOM	DPQS_2105_REF	0.0034743	0.0029761	0.0004983	109	0.0025681	0.0037369
>> Best		1000	1	IDENT_____	_RANDOM	DPQS_2105_NEW	0.0064212	0.0040650	0.0023562	109	0.0026103	0.0083848
>> Best		1000	1	IDENT_____	PLATEAU	SYSTEM   	0.0004191	0.0004126	0.0000065	109	0.0004060	0.0004408
>> Best		1000	1	IDENT_____	PLATEAU	DPQ_11   	0.0003680	0.0003639	0.0000042	109	0.0003592	0.0003936
>> Best		1000	1	IDENT_____	PLATEAU	DPQS_2105_REF	0.0004155	0.0004113	0.0000042	109	0.0004065	0.0004397
>> Best		1000	1	IDENT_____	PLATEAU	DPQS_2105_NEW	0.0004189	0.0004123	0.0000067	109	0.0004057	0.0004411
>> Best		1000	1	IDENT_____	SHUFFLE	SYSTEM   	0.0103820	0.0091229	0.0012591	109	0.0077203	0.0125776
>> Best		1000	1	IDENT_____	SHUFFLE	DPQ_11   	0.0112977	0.0104535	0.0008441	109	0.0090943	0.0123499
>> Best		1000	1	IDENT_____	SHUFFLE	DPQS_2105_REF	0.0108106	0.0095221	0.0012885	109	0.0080375	0.0127183
>> Best		1000	1	IDENT_____	SHUFFLE	DPQS_2105_NEW	0.0110962	0.0097782	0.0013180	109	0.0081545	0.0131394
>> Best		1000	1	REVERSE___	SPIRAL	SYSTEM   	0.0156467	0.0154020	0.0002446	109	0.0151504	0.0166717
>> Best		1000	1	REVERSE___	SPIRAL	DPQ_11   	0.0127167	0.0126355	0.0000812	109	0.0124928	0.0128018
>> Best		1000	1	REVERSE___	SPIRAL	DPQS_2105_REF	0.0136611	0.0134762	0.0001849	109	0.0132074	0.0139659
>> Best		1000	1	REVERSE___	SPIRAL	DPQS_2105_NEW	0.0162822	0.0161491	0.0001331	109	0.0158922	0.0163731
>> Best		1000	1	REVERSE___	STAGGER	SYSTEM   	0.0060119	0.0059841	0.0000278	109	0.0059262	0.0060712
>> Best		1000	1	REVERSE___	STAGGER	DPQ_11   	0.0046906	0.0046617	0.0000289	109	0.0046329	0.0047572
>> Best		1000	1	REVERSE___	STAGGER	DPQS_2105_REF	0.0058596	0.0058428	0.0000169	109	0.0058035	0.0058889
>> Best		1000	1	REVERSE___	STAGGER	DPQS_2105_NEW	0.0058817	0.0058501	0.0000316	109	0.0057602	0.0059106
>> Best		1000	1	REVERSE___	SAWTOTH	SYSTEM   	0.0012594	0.0012302	0.0000292	109	0.0011972	0.0013197
>> Best		1000	1	REVERSE___	SAWTOTH	DPQ_11   	0.0021500	0.0021449	0.0000051	109	0.0021214	0.0021562
>> Best		1000	1	REVERSE___	SAWTOTH	DPQS_2105_REF	0.0012586	0.0012337	0.0000249	109	0.0011993	0.0013081
>> Best		1000	1	REVERSE___	SAWTOTH	DPQS_2105_NEW	0.0013023	0.0012876	0.0000147	109	0.0012532	0.0013126
>> Best		1000	1	REVERSE___	_RANDOM	SYSTEM   	0.0038198	0.0032998	0.0005200	109	0.0027884	0.0039508
>> Best		1000	1	REVERSE___	_RANDOM	DPQ_11   	0.0029630	0.0027215	0.0002415	109	0.0021407	0.0029923
>> Best		1000	1	REVERSE___	_RANDOM	DPQS_2105_REF	0.0038548	0.0033099	0.0005450	109	0.0027608	0.0039785
>> Best		1000	1	REVERSE___	_RANDOM	DPQS_2105_NEW	0.0038234	0.0032884	0.0005349	109	0.0027511	0.0039433
>> Best		1000	1	REVERSE___	PLATEAU	SYSTEM   	0.0003393	0.0003357	0.0000036	109	0.0003301	0.0003490
>> Best		1000	1	REVERSE___	PLATEAU	DPQ_11   	0.0011906	0.0011758	0.0000148	109	0.0011508	0.0012052
>> Best		1000	1	REVERSE___	PLATEAU	DPQS_2105_REF	0.0003358	0.0003342	0.0000016	109	0.0003297	0.0003380
>> Best		1000	1	REVERSE___	PLATEAU	DPQS_2105_NEW	0.0003356	0.0003342	0.0000014	109	0.0003308	0.0003367
>> Best		1000	1	REVERSE___	SHUFFLE	SYSTEM   	0.0122533	0.0108183	0.0014350	109	0.0092132	0.0148259
>> Best		1000	1	REVERSE___	SHUFFLE	DPQ_11   	0.0140268	0.0134120	0.0006148	109	0.0125201	0.0151257
>> Best		1000	1	REVERSE___	SHUFFLE	DPQS_2105_REF	0.0118102	0.0104702	0.0013399	109	0.0089389	0.0143383
>> Best		1000	1	REVERSE___	SHUFFLE	DPQS_2105_NEW	0.0127887	0.0112620	0.0015266	109	0.0095443	0.0156123
>> Best		1000	1	DITHER____	SPIRAL	SYSTEM   	0.0095181	0.0094373	0.0000808	109	0.0092875	0.0096170
>> Best		1000	1	DITHER____	SPIRAL	DPQ_11   	0.0119200	0.0118332	0.0000868	109	0.0116841	0.0120226
>> Best		1000	1	DITHER____	SPIRAL	DPQS_2105_REF	0.0103874	0.0103057	0.0000817	109	0.0101700	0.0104606
>> Best		1000	1	DITHER____	SPIRAL	DPQS_2105_NEW	0.0101346	0.0100525	0.0000821	109	0.0098956	0.0102128
>> Best		1000	1	DITHER____	STAGGER	SYSTEM   	0.0143949	0.0142463	0.0001486	109	0.0140562	0.0153029
>> Best		1000	1	DITHER____	STAGGER	DPQ_11   	0.0145629	0.0144519	0.0001110	109	0.0142750	0.0146706
>> Best		1000	1	DITHER____	STAGGER	DPQS_2105_REF	0.0130096	0.0128972	0.0001124	109	0.0126959	0.0131140
>> Best		1000	1	DITHER____	STAGGER	DPQS_2105_NEW	0.0134555	0.0133363	0.0001192	109	0.0131261	0.0135418
>> Best		1000	1	DITHER____	SAWTOTH	SYSTEM   	0.0054899	0.0054139	0.0000760	109	0.0053355	0.0057801
>> Best		1000	1	DITHER____	SAWTOTH	DPQ_11   	0.0039643	0.0039497	0.0000145	109	0.0039220	0.0039777
>> Best		1000	1	DITHER____	SAWTOTH	DPQS_2105_REF	0.0051999	0.0051524	0.0000476	109	0.0050527	0.0052442
>> Best		1000	1	DITHER____	SAWTOTH	DPQS_2105_NEW	0.0052295	0.0051972	0.0000323	109	0.0051357	0.0052810
>> Best		1000	1	DITHER____	_RANDOM	SYSTEM   	0.0052782	0.0048755	0.0004026	109	0.0043553	0.0062334
>> Best		1000	1	DITHER____	_RANDOM	DPQ_11   	0.0043946	0.0039129	0.0004817	109	0.0034982	0.0050070
>> Best		1000	1	DITHER____	_RANDOM	DPQS_2105_REF	0.0047779	0.0044267	0.0003512	109	0.0040527	0.0057893
>> Best		1000	1	DITHER____	_RANDOM	DPQS_2105_NEW	0.0051352	0.0046863	0.0004489	109	0.0041450	0.0061077
>> Best		1000	1	DITHER____	PLATEAU	SYSTEM   	0.0059671	0.0057466	0.0002205	109	0.0056708	0.0078253
>> Best		1000	1	DITHER____	PLATEAU	DPQ_11   	0.0046767	0.0046547	0.0000220	109	0.0046308	0.0048045
>> Best		1000	1	DITHER____	PLATEAU	DPQS_2105_REF	0.0059943	0.0059728	0.0000216	109	0.0059363	0.0060571
